originalFilename,suggestedWatchId,brand,model,reference,confidence,suggestedRawFilename,status,notes,watchType,dialColor,caseMaterial,caseSizeMm,lugWidthMm,movement,estimatedValue,identificationSource,catalogAction
1- Oris Big Corwn D.26 286 HB-RAG.avif,oris-big-crown-d-26-286-hb-rag-green,Oris,Big Crown D.26 286 HB-RAG,D.26 286,high,oris-big-crown-d-26-286-hb-rag-green.avif,approved,"vision catalog candidate; Dial text clearly shows 'Oris', 'Big Crown Automatic'. The watch has a pilot style with large crown, Arabic numerals, and a date pointer hand. The filename confirms the model as Big Crown D.26 286 HB-RAG.; metadata 773x1080 alpha",Pilot,Green,Stainless Steel,40,20,Automatic,1100,vision,new-catalog-candidate
17331856_1.webp,omega-seamaster-aqua-terra-blue,Omega,Seamaster Aqua Terra, 231.10.42.21.03.003,high,omega-seamaster-aqua-terra-blue.webp,approved,"vision catalog candidate; The watch is identified as an Omega Seamaster Aqua Terra with a blue horizontal teak pattern dial, stainless steel case and bracelet, date window at 6 o'clock, and Co-Axial Master Chronometer movement. Case size is estimated at 41mm based on typical Aqua Terra models.; metadata 1220x1220",Sport,Blue,Stainless Steel,41,20,Co-Axial Master Chronometer,6000,vision,new-catalog-candidate
2 - 556.010_385_20_mit_band.avif,sinn-556-010,Sinn,556.010,556.010,high,sinn-556-010.avif,approved,"vision catalog candidate; The watch is identified as a Sinn 556.010 based on the dial text, case shape, bezel style, date layout, and the filename which includes '556.010_385_20'. The watch features a black dial, stainless steel case and bracelet, automatic movement, and a 3 o'clock date window.; metadata 1524x2360",Sport,Black,Stainless Steel,38.5,20,Automatic,1200,vision,new-catalog-candidate
3 - tudor-m79830rb-0001.avif,tudor-black-bay-gmt-m79830rb-0001,Tudor,Black Bay GMT,M79830RB-0001,high,tudor-black-bay-gmt-m79830rb-0001.avif,approved,"vision catalog candidate; Distinctive red and blue 'Pepsi' bezel, snowflake hands, date at 3 o'clock, stainless steel bracelet. Reference inferred from filename and visible design.; metadata 900x1200 alpha",GMT,Black,Stainless Steel,41,22,Automatic COSC Chronometer,4500,vision,new-catalog-candidate
3c392c05b9153c9fa68edbf7ae09cef888a50a7c.webp,iwc-portugieser-chronograph-iw371446,IWC,Portugieser Chronograph,IW371446,high,iwc-portugieser-chronograph-iw371446.webp,approved,"vision catalog candidate; Classic IWC Portugieser Chronograph with two subdials at 12 and 6, Arabic numerals, and blue hands. Black leather strap.; metadata 608x778 alpha",Chronograph,White,Stainless Steel,41,20,Automatic,7500,vision,new-catalog-candidate
5708835316.webp,tudor-black-bay-gmt-black,Tudor,Black Bay GMT,M79830RB-0001,high,tudor-black-bay-gmt-black.webp,approved,"vision catalog candidate; The watch features a black dial with 'Tudor Geneve' and 'GMT Master Chronometer' text. The bezel is bi-color black and red, typical of the Tudor Black Bay GMT model. The bracelet is a stainless steel jubilee style.; metadata 750x750",GMT,Black,Stainless Steel,41,22,Master Chronometer,3200,vision,new-catalog-candidate
b6e622cf7f94d1a4405c7a58251fb2eb3396bce9.webp,Iwc-portugieser-chronograph-iw371445,IWC,Portugieser Chronograph,IW371445,high,iwc-portugieser-chronograph-iw371446.webp,approved,"vision catalog candidate; Classic IWC Portugieser Chronograph with two subdials at 12 and 6, gold Arabic numerals, and black alligator leather strap.; metadata 608x778 alpha",Chronograph,White,Stainless Steel,41,20,Automatic,7500,vision,new-catalog-candidate
"background=transparent,fit=pad,format=auto,height=800,trim=border,width=800.avif",grand-seiko-hi-beat-36000-blue,Grand Seiko,Hi-Beat 36000,SBGH267,high,grand-seiko-hi-beat-36000-blue.avif,approved,"vision catalog candidate; Blue textured dial with GS logo and Grand Seiko text, date at 3 o'clock, stainless steel case and bracelet, classic dress watch style.; metadata 800x800 alpha",Dress,Blue,Stainless Steel,40,20,Automatic Hi-Beat 36000,`5000,vision,new-catalog-candidate
ca64e77104aa225a940d580da5eab583a8df66fb.jpg,a-lange-and-sohne-1815-up-down-white,A. Lange & Söhne,1815 Up/Down,234.026,high,a-lange-and-sohne-1815-up-down-white.jpg,approved,vision catalog candidate; Classic A. Lange & Söhne 1815 design with power reserve indicator (Auf/Ab) at 8 o'clock and small seconds at 4 o'clock. White dial with blued hands and Arabic numerals. Black leather strap.; metadata 1024x1024,Dress,White,White Gold,39,20,Manual Winding,35000,vision,new-catalog-candidate
h78719553.avif,hamilton-khaki-navy-pioneer-h78719553,Hamilton,Khaki Navy Pioneer,H78719553,high,hamilton-khaki-navy-pioneer-h78719553.avif,approved,"vision catalog candidate; The watch features a classic white dial with blue hands, a small seconds subdial at 6 o'clock, and a polished stainless steel case with wire lugs. The brown leather strap complements the vintage-inspired design. The reference number is inferred from the filename.; metadata 1200x1200 alpha",Dress,White,Stainless Steel,41,20,Manual winding,1000,vision,new-catalog-candidate
longines-01.avif,longines-legend-diver-black,Longines,Legend Diver,L37644507,high,longines-legend-diver-black.avif,approved,"vision catalog candidate; The watch is identified as the Longines Legend Diver based on the distinctive dial layout, dual crowns, internal rotating bezel, and bracelet style. Exact reference and dimensions are not visible.; metadata 944x1805 alpha",Diver,Black,Stainless Steel,39,20,Automatic,3400,vision,new-catalog-candidate
longines-02.avif,longines-legend-diver-blue,Longines,Legend Diver,L37644907,high,longines-legend-diver-blue.avif,approved,"vision catalog candidate; Distinctive internal rotating bezel with dual crowns, blue dial, and 'Automatic' text on dial confirm this as a Longines Legend Diver model.; metadata 944x1805 alpha",Diver,Blue,Stainless Steel,39,20,Automatic,3400,vision,new-catalog-candidate
longines-03.avif,longines-legend-diver-green,Longines,Legend Diver,L37644066,high,longines-legend-diver-green.avif,approved,"vision catalog candidate; Distinctive internal rotating bezel with dual crowns, green dial, and 'Automatic' text on dial confirm this as a Longines Legend Diver model.; metadata 944x1805 alpha",Diver,Green,Stainless Steel,39,20,Automatic,3400,vision,new-catalog-candidate
longines-04.avif,Longines-legend-diver-silver,Longines,Legend Diver,L37644996,high,longines-legend-diver-black.avif,approved,"vision catalog candidate; The watch is identified as the Longines Legend Diver based on the distinctive dual crown design, internal rotating bezel, dial layout with large Arabic numerals at 6, 9, 12, and 3, and the 'Automatic' text on the dial. The brown leather strap is typical for this model but may be aftermarket or optional.; metadata 948x1872 alpha",Diver,Silver,Stainless Steel,39,20,Automatic,3400,vision,new-catalog-candidate
longines-05.avif,longines-legend-diver-white,Longines,Legend Diver,"L37644166
",high,longines-legend-diver-white.avif,approved,"vision catalog candidate; The watch is identified as a Longines Legend Diver based on the distinctive dual crown design, internal rotating bezel, dial layout, and the 'Automatic' text on the dial. The white dial variant is less common but matches the visible features.; metadata 944x1805 alpha",Diver,White,Stainless Steel,39,20,Automatic,3400,vision,new-catalog-candidate
